Album,Album ID,Release Date,Track Number,Disc Number,Track Name,Track ID,Explicit,Duration,Primary Artist,Featured Artists,Total Artists,Popularity
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,18,1,New Again,75QktuEju5vz9lyXiLaUao,False,183296,Kanye West,,1,55
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,19,1,Tell The Vision,4OfnDoi5VOPsXtwnofq6aL,False,104218,Kanye West,,1,43
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,20,1,Lord I Need You,5Iq6pIudd4KfuxZqf8872b,False,162108,Kanye West,,1,55
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,21,1,Pure Souls,5aqUqSq0SqGBAqEn27PEzc,False,358621,Kanye West,,1,59
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,22,1,Come to Life,5xvXeuxISyXJDRbZZf4uzd,False,310393,Kanye West,,1,57
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,23,1,No Child Left Behind,3hd6zLhnTlbJ8PupYt3cAI,False,178061,Kanye West,,1,62
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,24,1,Jail pt 2,2H8jWuNmluerTEsuh8Gu6y,False,297000,Kanye West,,1,52
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,25,1,Ok Ok pt 2,5ad5uryyzVWs95bK3myGkw,False,204629,Kanye West,,1,46
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,26,1,Junya pt 2,2auYgZ1GcTkWj2bOaE2Wwm,False,182635,Kanye West,,1,50
Donda,5CnpZV3q5BcESefcB3WJmz,2021-08-29,27,1,Jesus Lord pt 2,360VkSTITvF55weIKoaNTw,False,690731,Kanye West,,1,46
